,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
MKRN1,3.22E-12,0.311539354,0.46,0.182,4.59E-08,1,MKRN1,0.278
S100A14,3.28E-12,0.377266573,0.866,0.714,4.68E-08,1,S100A14,0.152
SFT2D1,3.36E-12,0.333984525,0.536,0.242,4.79E-08,1,SFT2D1,0.294
PDCD6,3.41E-12,0.317875195,0.737,0.471,4.87E-08,1,PDCD6,0.266
PSMD3,3.46E-12,0.348044055,0.496,0.209,4.93E-08,1,PSMD3,0.287
G6PD,3.49E-12,0.263509701,0.321,0.084,4.99E-08,1,G6PD,0.237
TXN,3.62E-12,0.313780389,0.991,0.902,5.17E-08,1,TXN,0.089
AMY2B,3.66E-12,0.370965376,0.259,0.051,5.22E-08,1,AMY2B,0.208
FLNA,3.67E-12,0.30219504,0.821,0.613,5.24E-08,1,FLNA,0.208
SPSB3,3.81E-12,0.263089586,0.455,0.172,5.44E-08,1,SPSB3,0.283
TM9SF2,3.89E-12,0.330235431,0.625,0.333,5.55E-08,1,TM9SF2,0.292
ROGDI,3.91E-12,0.261941521,0.388,0.125,5.58E-08,1,ROGDI,0.263
PSMB5,3.93E-12,0.289439061,0.821,0.603,5.61E-08,1,PSMB5,0.218
ZMAT2,4.04E-12,0.265692277,0.455,0.172,5.77E-08,1,ZMAT2,0.283
PPP1CA,4.05E-12,0.323496144,0.79,0.599,5.78E-08,1,PPP1CA,0.191
STX10,4.06E-12,0.273117417,0.371,0.118,5.80E-08,1,STX10,0.253
TMEM208,4.24E-12,0.294296251,0.513,0.219,6.05E-08,1,TMEM208,0.294
FBXL3,4.30E-12,0.296033314,0.406,0.145,6.13E-08,1,FBXL3,0.261
PCID2,4.33E-12,0.252233124,0.348,0.098,6.18E-08,1,PCID2,0.25
MRFAP1,4.68E-12,0.304344558,0.857,0.734,6.68E-08,1,MRFAP1,0.123
CNBP,4.74E-12,0.272857281,0.955,0.822,6.76E-08,1,CNBP,0.133
NPC2,4.75E-12,0.400260282,0.969,0.882,6.78E-08,1,NPC2,0.087
CCT8,4.81E-12,0.300309826,0.567,0.263,6.86E-08,1,CCT8,0.304
OS9,4.87E-12,0.310817345,0.625,0.33,6.95E-08,1,OS9,0.295
ZDHHC12,5.14E-12,0.276355412,0.393,0.131,7.34E-08,1,ZDHHC12,0.262
CTSS,5.25E-12,0.37365328,0.772,0.582,7.48E-08,1,CTSS,0.19
CCNC,5.32E-12,0.304186434,0.424,0.158,7.59E-08,1,CCNC,0.266
HPCAL1,5.48E-12,0.314786548,0.406,0.141,7.81E-08,1,HPCAL1,0.265
CLPP,5.53E-12,0.262227278,0.411,0.141,7.90E-08,1,CLPP,0.27
PHB2,5.55E-12,0.301225427,0.554,0.249,7.92E-08,1,PHB2,0.305
ANAPC11,5.91E-12,0.347552395,0.839,0.673,8.44E-08,1,ANAPC11,0.166
MCTS1,6.06E-12,0.284666734,0.473,0.189,8.65E-08,1,MCTS1,0.284
DPM2,6.29E-12,0.25078908,0.406,0.135,8.97E-08,1,DPM2,0.271
BCAS2,6.29E-12,0.304785674,0.491,0.202,8.98E-08,1,BCAS2,0.289
SLC25A11,6.53E-12,0.290694461,0.384,0.125,9.31E-08,1,SLC25A11,0.259
LSM4,6.54E-12,0.294386365,0.5,0.205,9.34E-08,1,LSM4,0.295
EMD,6.57E-12,0.298001542,0.464,0.182,9.37E-08,1,EMD,0.282
ACADVL,6.61E-12,0.315473103,0.871,0.727,9.43E-08,1,ACADVL,0.144
OSTC,6.97E-12,0.317109122,0.746,0.529,9.94E-08,1,OSTC,0.217
SPATA20,7.20E-12,0.257317019,0.308,0.077,1.03E-07,1,SPATA20,0.231
CAPG,7.41E-12,0.401058042,0.629,0.364,1.06E-07,1,CAPG,0.265
NME3,7.50E-12,0.305574068,0.804,0.579,1.07E-07,1,NME3,0.225
ST13,7.65E-12,0.270897159,0.915,0.815,1.09E-07,1,ST13,0.1
AIDA,7.84E-12,0.285049052,0.353,0.108,1.12E-07,1,AIDA,0.245
BCAT1,7.99E-12,0.29138848,0.451,0.155,1.14E-07,1,BCAT1,0.296
SELENOT,8.05E-12,0.280043185,0.728,0.451,1.15E-07,1,SELENOT,0.277
NANS,8.21E-12,0.327454692,0.683,0.421,1.17E-07,1,NANS,0.262
EIF3E,8.22E-12,0.36374449,0.946,0.889,1.17E-07,1,EIF3E,0.057
GORASP2,8.29E-12,0.32239381,0.482,0.202,1.18E-07,1,GORASP2,0.28
MLF2,8.30E-12,0.307042819,0.804,0.609,1.18E-07,1,MLF2,0.195
ARHGEF1,8.79E-12,0.264893686,0.415,0.152,1.25E-07,1,ARHGEF1,0.263
HINT2,8.85E-12,0.312266704,0.424,0.165,1.26E-07,1,HINT2,0.259
SRSF8,8.90E-12,0.326077656,0.469,0.195,1.27E-07,1,SRSF8,0.274
SNX5,9.18E-12,0.279304444,0.42,0.155,1.31E-07,1,SNX5,0.265
OAZ1,9.30E-12,0.295279914,0.996,0.949,1.33E-07,1,OAZ1,0.047
XRCC6,1.02E-11,0.287115435,0.844,0.694,1.46E-07,1,XRCC6,0.15
RAB7A,1.08E-11,0.292377773,0.83,0.667,1.55E-07,1,RAB7A,0.163
DDOST,1.09E-11,0.348936748,0.518,0.246,1.56E-07,1,DDOST,0.272
MGRN1,1.10E-11,0.287816762,0.388,0.135,1.58E-07,1,MGRN1,0.253
OTUB1,1.13E-11,0.279350107,0.442,0.168,1.61E-07,1,OTUB1,0.274
RTN3,1.13E-11,0.277110952,0.522,0.236,1.62E-07,1,RTN3,0.286
POLDIP2,1.14E-11,0.306643938,0.411,0.148,1.62E-07,1,POLDIP2,0.263
RAB4A,1.24E-11,0.313301106,0.527,0.239,1.77E-07,1,RAB4A,0.288
HMOX2,1.26E-11,0.279335054,0.429,0.162,1.80E-07,1,HMOX2,0.267
NDUFA1,1.47E-11,0.327319929,0.92,0.865,2.10E-07,1,NDUFA1,0.055
CLDN4,1.50E-11,0.327030555,0.996,0.909,2.14E-07,1,CLDN4,0.087
CDC26,1.56E-11,0.267861096,0.406,0.145,2.23E-07,1,CDC26,0.261
MRPS15,1.58E-11,0.318548459,0.478,0.209,2.25E-07,1,MRPS15,0.269
IDH2,1.61E-11,0.315824227,0.509,0.222,2.29E-07,1,IDH2,0.287
ETFB,1.62E-11,0.36137288,0.728,0.525,2.31E-07,1,ETFB,0.203
SUMO3,1.66E-11,0.30099918,0.54,0.246,2.37E-07,1,SUMO3,0.294
DEGS1,1.67E-11,0.262113954,0.402,0.138,2.39E-07,1,DEGS1,0.264
CFL1,1.67E-11,0.250940387,0.991,0.936,2.39E-07,1,CFL1,0.055
TSPAN4,1.72E-11,0.351249447,0.464,0.199,2.46E-07,1,TSPAN4,0.265
INTS10,1.75E-11,0.26479459,0.402,0.145,2.49E-07,1,INTS10,0.257
SNHG8,1.82E-11,0.362435214,0.888,0.808,2.59E-07,1,SNHG8,0.08
SIX1,1.84E-11,0.302599627,0.455,0.178,2.63E-07,1,SIX1,0.277
IMP3,1.87E-11,0.304958749,0.482,0.205,2.67E-07,1,IMP3,0.277
ERN2,1.89E-11,0.25102769,0.304,0.077,2.70E-07,1,ERN2,0.227
GRN,1.96E-11,0.286314423,0.879,0.707,2.80E-07,1,GRN,0.172
FXYD5,2.00E-11,0.314148019,0.464,0.182,2.85E-07,1,FXYD5,0.282
TIMM13,2.07E-11,0.295509107,0.585,0.293,2.96E-07,1,TIMM13,0.292
HEXB,2.13E-11,0.344121478,0.464,0.199,3.03E-07,1,HEXB,0.265
KCNJ15,2.19E-11,0.287335443,0.406,0.145,3.13E-07,1,KCNJ15,0.261
SPNS1,2.21E-11,0.266865093,0.326,0.094,3.15E-07,1,SPNS1,0.232
AKR1A1,2.21E-11,0.260682178,0.54,0.236,3.16E-07,1,AKR1A1,0.304
FKBP8,2.23E-11,0.26751388,0.808,0.62,3.18E-07,1,FKBP8,0.188
UQCR10,2.24E-11,0.314443613,0.915,0.818,3.19E-07,1,UQCR10,0.097
DNPH1,2.40E-11,0.302086754,0.5,0.215,3.42E-07,1,DNPH1,0.285
ERGIC1,2.42E-11,0.313834785,0.429,0.168,3.46E-07,1,ERGIC1,0.261
MPC2,2.43E-11,0.335330601,0.732,0.549,3.47E-07,1,MPC2,0.183
ACTR10,2.58E-11,0.282086087,0.455,0.182,3.68E-07,1,ACTR10,0.273
SNRPC,2.79E-11,0.292238458,0.496,0.215,3.98E-07,1,SNRPC,0.281
NT5C3B,2.87E-11,0.276404253,0.397,0.145,4.09E-07,1,NT5C3B,0.252
CDK2AP2,2.89E-11,0.352616238,0.723,0.488,4.12E-07,1,CDK2AP2,0.235
CLIC1,3.36E-11,0.280903355,0.942,0.852,4.80E-07,1,CLIC1,0.09
GDI2,3.41E-11,0.293063146,0.621,0.337,4.86E-07,1,GDI2,0.284
PMPCB,3.41E-11,0.25159592,0.339,0.104,4.87E-07,1,PMPCB,0.235
HTATSF1,3.45E-11,0.270458049,0.384,0.135,4.92E-07,1,HTATSF1,0.249
NDUFB1,3.50E-11,0.287426554,0.911,0.822,4.99E-07,1,NDUFB1,0.089
CYHR1,3.54E-11,0.295728863,0.429,0.172,5.05E-07,1,CYHR1,0.257
GUSB,3.60E-11,0.271066692,0.42,0.158,5.14E-07,1,GUSB,0.262
TMBIM6,3.65E-11,0.312970895,0.987,0.936,5.20E-07,1,TMBIM6,0.051
CCT7,3.79E-11,0.319173156,0.5,0.236,5.41E-07,1,CCT7,0.264
IER3IP1,3.81E-11,0.292395457,0.478,0.209,5.44E-07,1,IER3IP1,0.269
MT-ND4,3.96E-11,0.403375102,0.991,0.997,5.65E-07,1,MT-ND4,-0.006
YWHAE,4.02E-11,0.342577313,0.933,0.892,5.73E-07,1,YWHAE,0.041
CREB3,4.05E-11,0.270355747,0.371,0.128,5.78E-07,1,CREB3,0.243
TMEM33,4.14E-11,0.301450454,0.42,0.165,5.90E-07,1,TMEM33,0.255
ATP6V1E1,4.24E-11,0.284516222,0.531,0.246,6.05E-07,1,ATP6V1E1,0.285
SMIM7,4.28E-11,0.279538315,0.455,0.185,6.11E-07,1,SMIM7,0.27
COMT,4.54E-11,0.320552368,0.848,0.721,6.47E-07,1,COMT,0.127
BLVRB,4.59E-11,0.283791117,0.817,0.606,6.55E-07,1,BLVRB,0.211
SMIM19,4.65E-11,0.268875855,0.478,0.209,6.64E-07,1,SMIM19,0.269
SCOC,4.79E-11,0.286814228,0.518,0.232,6.84E-07,1,SCOC,0.286
SYPL1,4.87E-11,0.265438854,0.527,0.239,6.95E-07,1,SYPL1,0.288
TMEM14A,5.07E-11,0.252672202,0.371,0.125,7.23E-07,1,TMEM14A,0.246
MAPK13,5.49E-11,0.267697349,0.366,0.125,7.84E-07,1,MAPK13,0.241
OCIAD1,5.62E-11,0.263037892,0.83,0.646,8.02E-07,1,OCIAD1,0.184
EIF3D,5.64E-11,0.28004735,0.732,0.485,8.05E-07,1,EIF3D,0.247
EIF3H,5.81E-11,0.26823545,0.915,0.747,8.29E-07,1,EIF3H,0.168
NDUFA10,5.86E-11,0.277035571,0.482,0.212,8.37E-07,1,NDUFA10,0.27
SUB1,5.94E-11,0.271475908,0.92,0.845,8.48E-07,1,SUB1,0.075
TUBA4A,5.95E-11,0.304186434,0.393,0.141,8.49E-07,1,TUBA4A,0.252
PPP4C,6.18E-11,0.298585086,0.79,0.572,8.82E-07,1,PPP4C,0.218
CDK5RAP3,6.30E-11,0.304958749,0.464,0.199,9.00E-07,1,CDK5RAP3,0.265
GID8,6.81E-11,0.270181184,0.357,0.121,9.72E-07,1,GID8,0.236
ARMT1,6.84E-11,0.267226973,0.33,0.098,9.75E-07,1,ARMT1,0.232
TVP23B,7.06E-11,0.275988507,0.312,0.091,1.01E-06,1,TVP23B,0.221
SPAG7,7.45E-11,0.282086087,0.643,0.357,1.06E-06,1,SPAG7,0.286
HNRNPK,7.54E-11,0.309319237,0.973,0.899,1.08E-06,1,HNRNPK,0.074
ANP32B,7.68E-11,0.258932782,0.826,0.667,1.10E-06,1,ANP32B,0.159
COX7A2L,9.44E-11,0.278312498,0.772,0.589,1.35E-06,1,COX7A2L,0.183
COPS5,9.77E-11,0.282086087,0.384,0.141,1.39E-06,1,COPS5,0.243
EPS8,1.01E-10,0.276596595,0.772,0.542,1.45E-06,1,EPS8,0.23
BET1,1.04E-10,0.254090479,0.299,0.084,1.49E-06,1,BET1,0.215
TMEM50B,1.05E-10,0.287610963,0.411,0.162,1.49E-06,1,TMEM50B,0.249
RHOBTB2,1.07E-10,0.265556785,0.379,0.135,1.53E-06,1,RHOBTB2,0.244
PMM1,1.08E-10,0.260463623,0.438,0.175,1.54E-06,1,PMM1,0.263
PLA2G16,1.12E-10,0.338704981,0.688,0.465,1.60E-06,1,PLA2G16,0.223
SNAP23,1.13E-10,0.264490325,0.362,0.125,1.62E-06,1,SNAP23,0.237
PPP1R7,1.14E-10,0.295331314,0.446,0.192,1.63E-06,1,PPP1R7,0.254
AUP1,1.19E-10,0.328426424,0.719,0.492,1.69E-06,1,AUP1,0.227
NECTIN2,1.27E-10,0.3280712,0.531,0.273,1.81E-06,1,NECTIN2,0.258
SRSF1,1.32E-10,0.266895921,0.487,0.212,1.89E-06,1,SRSF1,0.275
TMEM87A,1.41E-10,0.282086087,0.54,0.259,2.02E-06,1,TMEM87A,0.281
GSN,1.43E-10,0.254555922,0.933,0.805,2.04E-06,1,GSN,0.128
LYPLAL1,1.45E-10,0.254935098,0.335,0.108,2.07E-06,1,LYPLAL1,0.227
NUDC,1.46E-10,0.278239928,0.781,0.562,2.09E-06,1,NUDC,0.219
COA3,1.51E-10,0.394298078,0.634,0.414,2.15E-06,1,COA3,0.22
GALE,1.53E-10,0.27938703,0.411,0.158,2.19E-06,1,GALE,0.253
MLPH,1.55E-10,0.267352855,0.75,0.512,2.21E-06,1,MLPH,0.238
ERH,1.55E-10,0.315271636,0.875,0.761,2.21E-06,1,ERH,0.114
GPX3,1.58E-10,0.25078908,0.357,0.118,2.25E-06,1,GPX3,0.239
MPG,1.58E-10,0.266170632,0.433,0.172,2.26E-06,1,MPG,0.261
NUDCD2,1.61E-10,0.261941521,0.393,0.148,2.30E-06,1,NUDCD2,0.245
S100A13,1.71E-10,0.33108119,0.879,0.707,2.44E-06,1,S100A13,0.172
MPDU1,1.71E-10,0.259422227,0.397,0.152,2.44E-06,1,MPDU1,0.245
CSF3R,1.71E-10,0.26228346,0.335,0.104,2.44E-06,1,CSF3R,0.231
CYB5B,1.80E-10,0.25078908,0.397,0.152,2.56E-06,1,CYB5B,0.245
PAIP2,1.81E-10,0.271419319,0.464,0.212,2.58E-06,1,PAIP2,0.252
HNRNPA3,1.85E-10,0.283338435,0.924,0.842,2.63E-06,1,HNRNPA3,0.082
COPS6,1.89E-10,0.314793405,0.482,0.232,2.69E-06,1,COPS6,0.25
DAD1,1.97E-10,0.304064994,0.848,0.707,2.81E-06,1,DAD1,0.141
SNRPN,2.02E-10,0.279719222,0.527,0.253,2.88E-06,1,SNRPN,0.274
UGP2,2.11E-10,0.294207447,0.527,0.256,3.00E-06,1,UGP2,0.271
UBE2D3,2.12E-10,0.273117417,0.875,0.764,3.02E-06,1,UBE2D3,0.111
PSMC3,2.17E-10,0.303958162,0.513,0.249,3.10E-06,1,PSMC3,0.264
CSRP1,2.20E-10,0.269014005,0.433,0.172,3.14E-06,1,CSRP1,0.261
SMS,2.24E-10,0.253770167,0.478,0.202,3.20E-06,1,SMS,0.276
EEF2,2.45E-10,0.385186577,1,0.966,3.50E-06,1,EEF2,0.034
NDUFA6,2.68E-10,0.28441981,0.562,0.29,3.83E-06,1,NDUFA6,0.272
UFC1,2.68E-10,0.266608564,0.79,0.596,3.83E-06,1,UFC1,0.194
MAOA,2.83E-10,0.272607343,0.527,0.249,4.03E-06,1,MAOA,0.278
UROS,2.83E-10,0.251872308,0.326,0.104,4.04E-06,1,UROS,0.222
NELFE,2.89E-10,0.274283707,0.464,0.209,4.12E-06,1,NELFE,0.255
UQCRFS1,3.39E-10,0.288303724,0.692,0.455,4.84E-06,1,UQCRFS1,0.237
ELOF1,3.63E-10,0.259613231,0.406,0.162,5.17E-06,1,ELOF1,0.244
PSMB6,3.66E-10,0.282086087,0.795,0.633,5.22E-06,1,PSMB6,0.162
OLA1,3.73E-10,0.255130277,0.438,0.185,5.32E-06,1,OLA1,0.253
CCZ1,4.04E-10,0.252789717,0.455,0.202,5.77E-06,1,CCZ1,0.253
TMEM70,4.12E-10,0.282086087,0.357,0.131,5.88E-06,1,TMEM70,0.226
NSMCE1,4.18E-10,0.253512715,0.379,0.141,5.96E-06,1,NSMCE1,0.238
LAMP2,4.34E-10,0.298422506,0.527,0.256,6.19E-06,1,LAMP2,0.271
CLTB,4.42E-10,0.306504614,0.603,0.354,6.31E-06,1,CLTB,0.249
PPP2R1A,4.50E-10,0.258444324,0.513,0.229,6.42E-06,1,PPP2R1A,0.284
CKB,4.79E-10,0.340484663,0.714,0.505,6.83E-06,1,CKB,0.209
CALM3,4.84E-10,0.293809551,0.518,0.259,6.91E-06,1,CALM3,0.259
BAD,5.07E-10,0.271419319,0.429,0.178,7.24E-06,1,BAD,0.251
TMEM173,5.24E-10,0.304433386,0.746,0.579,7.47E-06,1,TMEM173,0.167
FEZ2,5.28E-10,0.287111223,0.478,0.229,7.53E-06,1,FEZ2,0.249
PKM,5.36E-10,0.327255055,0.924,0.845,7.64E-06,1,PKM,0.079
PSMD2,5.48E-10,0.26794158,0.393,0.155,7.82E-06,1,PSMD2,0.238
NSRP1,5.52E-10,0.263591504,0.446,0.192,7.88E-06,1,NSRP1,0.254
SQOR,5.71E-10,0.268443311,0.415,0.172,8.15E-06,1,SQOR,0.243
TMEM147,6.16E-10,0.280111753,0.71,0.498,8.79E-06,1,TMEM147,0.212
RAB2A,6.71E-10,0.269682827,0.888,0.781,9.57E-06,1,RAB2A,0.107
PSMF1,6.87E-10,0.282086087,0.406,0.168,9.80E-06,1,PSMF1,0.238
HSPA5,6.88E-10,0.323688489,0.911,0.852,9.82E-06,1,HSPA5,0.059
CCND3,6.97E-10,0.284392893,0.531,0.263,9.94E-06,1,CCND3,0.268
DPY30,7.01E-10,0.315010872,0.656,0.458,1.00E-05,1,DPY30,0.198
CLPTM1,7.67E-10,0.276621592,0.406,0.168,1.09E-05,1,CLPTM1,0.238
EID1,7.68E-10,0.273629377,0.973,0.889,1.10E-05,1,EID1,0.084
PON2,7.74E-10,0.273814741,0.808,0.63,1.10E-05,1,PON2,0.178
TNFRSF1A,8.13E-10,0.256413732,0.567,0.283,1.16E-05,1,TNFRSF1A,0.284
MT-CO1,9.16E-10,0.387156264,0.996,0.997,1.31E-05,1,MT-CO1,-0.001
VAMP2,9.18E-10,0.292431007,0.795,0.653,1.31E-05,1,VAMP2,0.142
LRPAP1,9.41E-10,0.251314428,0.808,0.596,1.34E-05,1,LRPAP1,0.212
SEC22B,9.44E-10,0.282086087,0.429,0.189,1.35E-05,1,SEC22B,0.24
PTGES3,9.73E-10,0.277741402,0.862,0.758,1.39E-05,1,PTGES3,0.104
CFB,1.01E-09,0.25391521,0.268,0.074,1.43E-05,1,CFB,0.194
TMEM9B,1.03E-09,0.26972499,0.487,0.229,1.47E-05,1,TMEM9B,0.258
SEC11A,1.10E-09,0.2602181,0.821,0.704,1.57E-05,1,SEC11A,0.117
CAPN1,1.11E-09,0.3238555,0.478,0.229,1.58E-05,1,CAPN1,0.249
MRPL33,1.12E-09,0.267222064,0.835,0.684,1.60E-05,1,MRPL33,0.151
PLPP2,1.26E-09,0.352290346,0.812,0.724,1.80E-05,1,PLPP2,0.088
ECHDC1,1.35E-09,0.306829617,0.647,0.407,1.92E-05,1,ECHDC1,0.24
HMG20B,1.37E-09,0.261706925,0.366,0.145,1.95E-05,1,HMG20B,0.221
GGCT,1.38E-09,0.312700723,0.455,0.215,1.97E-05,1,GGCT,0.24
GHITM,1.43E-09,0.276462829,0.763,0.606,2.04E-05,1,GHITM,0.157
MGST1,1.46E-09,0.25215037,1,0.98,2.08E-05,1,MGST1,0.02
HEXA,1.52E-09,0.263393954,0.424,0.182,2.18E-05,1,HEXA,0.242
PYURF,1.59E-09,0.278210113,0.754,0.576,2.27E-05,1,PYURF,0.178
MGST3,1.60E-09,0.287985809,0.862,0.764,2.28E-05,1,MGST3,0.098
PSMA4,1.70E-09,0.269641482,0.795,0.62,2.43E-05,1,PSMA4,0.175
SEC62,1.71E-09,0.297917552,0.973,0.919,2.44E-05,1,SEC62,0.054
AP2M1,1.76E-09,0.305367562,0.629,0.397,2.51E-05,1,AP2M1,0.232
TMEM14B,1.80E-09,0.32455961,0.67,0.461,2.57E-05,1,TMEM14B,0.209
RARRES3,1.83E-09,0.516892407,0.781,0.64,2.62E-05,1,RARRES3,0.141
GLRX3,2.01E-09,0.262881107,0.411,0.178,2.87E-05,1,GLRX3,0.233
EIF3I,2.28E-09,0.262139823,0.781,0.609,3.25E-05,1,EIF3I,0.172
NUDT14,2.37E-09,0.252394297,0.415,0.182,3.38E-05,1,NUDT14,0.233
SNX17,2.42E-09,0.271127073,0.415,0.185,3.46E-05,1,SNX17,0.23
BAG3,2.47E-09,0.261572547,0.46,0.212,3.52E-05,1,BAG3,0.248
PNKD,2.48E-09,0.286218324,0.665,0.448,3.54E-05,1,PNKD,0.217
ARPC5,2.57E-09,0.27716401,0.821,0.67,3.67E-05,1,ARPC5,0.151
ARL6IP1,2.61E-09,0.267406924,0.75,0.549,3.72E-05,1,ARL6IP1,0.201
TPD52L1,2.82E-09,0.254263581,0.277,0.084,4.02E-05,1,TPD52L1,0.193
RBM42,2.92E-09,0.259738788,0.397,0.172,4.16E-05,1,RBM42,0.225
PSMC6,3.21E-09,0.261252,0.455,0.212,4.59E-05,1,PSMC6,0.243
NSD3,3.26E-09,0.272306058,0.491,0.242,4.65E-05,1,NSD3,0.249
GLTP,3.51E-09,0.261677215,0.469,0.219,5.00E-05,1,GLTP,0.25
ERLEC1,3.69E-09,0.303592292,0.491,0.256,5.27E-05,1,ERLEC1,0.235
RAD23A,3.73E-09,0.256006374,0.732,0.512,5.33E-05,1,RAD23A,0.22
ARPC5L,3.82E-09,0.254271399,0.473,0.229,5.45E-05,1,ARPC5L,0.244
ARPC3,3.92E-09,0.261984908,0.933,0.886,5.60E-05,1,ARPC3,0.047
LAD1,4.08E-09,0.25006006,0.339,0.128,5.82E-05,1,LAD1,0.211
NAP1L1,4.62E-09,0.261572547,0.902,0.832,6.59E-05,1,NAP1L1,0.07
DNAJC3,5.12E-09,0.307002438,0.536,0.3,7.31E-05,1,DNAJC3,0.236
PPIB,5.40E-09,0.258583242,0.938,0.862,7.71E-05,1,PPIB,0.076
RNF130,6.24E-09,0.258180566,0.442,0.212,8.90E-05,1,RNF130,0.23
GTF3C6,6.35E-09,0.270683455,0.536,0.293,9.06E-05,1,GTF3C6,0.243
TRAM1,6.72E-09,0.265235397,0.879,0.811,9.59E-05,1,TRAM1,0.068
NDUFB5,8.35E-09,0.260463623,0.424,0.202,0.000119093,1,NDUFB5,0.222
STXBP2,8.52E-09,0.262933655,0.388,0.165,0.000121504,1,STXBP2,0.223
FDFT1,8.53E-09,0.294989492,0.638,0.418,0.0001217,1,FDFT1,0.22
PSMC5,9.53E-09,0.265825566,0.692,0.505,0.000135903,1,PSMC5,0.187
SCCPDH,9.74E-09,0.26438651,0.326,0.125,0.000138957,1,SCCPDH,0.201
NDUFAF8,1.04E-08,0.269443694,0.464,0.226,0.000147692,1,NDUFAF8,0.238
RCN2,1.05E-08,0.255673987,0.491,0.242,0.000150242,1,RCN2,0.249
TSPO,1.30E-08,0.260042579,0.866,0.724,0.00018578,1,TSPO,0.142
DPP7,1.38E-08,0.299515722,0.531,0.306,0.000197348,1,DPP7,0.225
TSG101,1.47E-08,0.254910502,0.424,0.199,0.000209828,1,TSG101,0.225
SEC61A1,1.52E-08,0.269755474,0.455,0.226,0.000217133,1,SEC61A1,0.229
RBBP4,1.53E-08,0.266818615,0.46,0.232,0.000219013,1,RBBP4,0.228
HACD3,1.86E-08,0.27680903,0.424,0.209,0.000264964,1,HACD3,0.215
YPEL3,2.09E-08,0.265238516,0.482,0.246,0.000297511,1,YPEL3,0.236
NAA20,2.56E-08,0.26172915,0.455,0.229,0.000365595,1,NAA20,0.226
HSPA1B,2.80E-08,0.293030109,0.857,0.7,0.00040013,1,HSPA1B,0.157
NHP2,2.99E-08,0.268765243,0.71,0.505,0.000426492,1,NHP2,0.205
DEPP1,2.99E-08,0.329714136,0.335,0.135,0.000426955,1,DEPP1,0.2
LRP10,3.74E-08,0.26478034,0.464,0.236,0.000533868,1,LRP10,0.228
PSMB7,3.94E-08,0.26452466,0.71,0.542,0.000561937,1,PSMB7,0.168
NIPSNAP2,4.09E-08,0.259386499,0.451,0.232,0.000583533,1,NIPSNAP2,0.219
MFSD10,4.17E-08,0.269475579,0.46,0.239,0.00059507,1,MFSD10,0.221
ALKBH7,4.50E-08,0.299097433,0.473,0.269,0.000642096,1,ALKBH7,0.204
SCD,4.52E-08,0.279451039,0.366,0.152,0.000645385,1,SCD,0.214
SFTPA1,4.67E-08,0.843955885,0.835,0.731,0.000666383,1,SFTPA1,0.104
MZT2B,4.91E-08,0.260763317,0.853,0.758,0.000700209,1,MZT2B,0.095
NDUFA3,4.91E-08,0.250134487,0.839,0.71,0.000701222,1,NDUFA3,0.129
C15orf48,4.96E-08,0.302896086,0.379,0.168,0.000707607,1,C15orf48,0.211
CANX,5.10E-08,0.262940639,0.884,0.791,0.000727572,1,CANX,0.093
RBM8A,6.58E-08,0.261746403,0.812,0.724,0.0009393,1,RBM8A,0.088
SSR1,6.72E-08,0.27276201,0.487,0.263,0.000958464,1,SSR1,0.224
DBNL,7.60E-08,0.26794158,0.362,0.168,0.001084924,1,DBNL,0.194
EIF3L,7.74E-08,0.251432346,0.897,0.805,0.001104401,1,EIF3L,0.092
CCNI,7.76E-08,0.279679347,0.888,0.818,0.001106797,1,CCNI,0.07
NDUFA5,7.94E-08,0.264246169,0.679,0.498,0.001133345,1,NDUFA5,0.181
MDH1,8.18E-08,0.277159969,0.469,0.256,0.001167713,1,MDH1,0.213
EPHX1,1.06E-07,0.280719033,0.853,0.724,0.001514687,1,EPHX1,0.129
PIGR,1.62E-07,0.358973388,0.996,0.912,0.002306955,1,PIGR,0.084
IER2,2.42E-07,0.462098174,0.906,0.872,0.003449661,1,IER2,0.034
H1F0,2.51E-07,0.274283707,0.393,0.195,0.003581243,1,H1F0,0.198
LSR,3.58E-07,0.274746604,0.705,0.593,0.005111866,1,LSR,0.112
ELOVL5,3.95E-07,0.251485646,0.371,0.182,0.005639457,1,ELOVL5,0.189
TUBB,4.06E-07,0.288968427,0.835,0.687,0.005795183,1,TUBB,0.148
AGR2,5.89E-07,0.264192965,0.853,0.778,0.008405959,1,AGR2,0.075
PHLDA1,1.24E-06,0.315811722,0.326,0.148,0.017740889,1,PHLDA1,0.178
CITED2,2.39E-06,0.384463434,0.795,0.673,0.034144083,1,CITED2,0.122
SELENOP,3.05E-06,0.275485403,0.911,0.879,0.043520555,1,SELENOP,0.032
CTSE,5.09E-06,0.478072933,0.638,0.525,0.072652624,1,CTSE,0.113
DUSP23,5.18E-06,0.278880956,0.781,0.707,0.073958265,1,DUSP23,0.074
ARPC1B,7.63E-06,0.267608068,0.567,0.401,0.108813172,1,ARPC1B,0.166
SUSD2,7.86E-06,0.284064327,0.567,0.397,0.112177202,1,SUSD2,0.17
SNHG9,1.21E-05,0.283956995,0.679,0.542,0.172090429,1,SNHG9,0.137
RHOB,0.000149069,0.294198811,0.933,0.902,1,1,RHOB,0.031
MSLN,0.000463456,0.466657363,0.29,0.165,1,1,MSLN,0.125
