ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04080	hsa04080	Neuroactive ligand-receptor interaction	222	-0.38144976317295	-2.73595548575586	1e-10	3.41e-08	2.76842105263158e-08	3700	tags=55%, list=24%, signal=42%	MC1R/GABRD/GRIK3/ADORA3/ADRA2B/HTR2B/NMUR1/GRM7/OXTR/PTH1R/AGTR1/UTS2B/RXFP1/NPY1R/F2RL2/HTR4/OPRM1/VIPR2/LPAR4/GRIA3/APLN/AVPR2/ADRB3/GPHA2/GRIK4/PMCH/P2RX2/SSTR1/NPB/GRP/GALR1/UTS2/CNR2/PTGER3/PRLH/CCK/GRM2/ADRA2C/QRFPR/NMUR2/VIP/CRHR2/GHRHR/GRM3/GRM8/CHRM2/CHRNA2/PNOC/CHRM1/HTR2A/CHRNA3/GRIN2C/EDN3/OPRD1/LHCGR/PTH2R/GPR156/DRD5/GABRB1/NPFFR2/ADRA1B/GABRR2/GRM1/ADCYAP1R1/CALCR/CHRNA6/OPRK1/CRH/GRIN3A/QRFP/CALCB/GAL/GRM5/GPR83/HTR7/TAC3/ADRA1D/GRIK5/GRIK1/CHRNA9/GRID2/GABRA1/ADRA1A/GRIN2B/IAPP/MAS1/PTGER1/GRIK2/LYPD6/GABBR1/PTGIR/S1PR5/PLG/UCN/CHRNA5/GABRB3/NTS/LTB4R2/CHRNA7/NMU/LYPD6B/HRH1/P2RX6/P2RY1/GABRB2/GRIN1/ADRA2A/P2RX1/SCT/TACR1/GABRA4/GPR35/CHRNA10/DRD1/PTGFR/BDKRB1/BDKRB2/LEPR/GLRA3/RLN2/EDNRB/PTAFR
hsa04740	hsa04740	Olfactory transduction	72	-0.449994514100829	-2.53240223150572	4.85612798770963e-08	5.51979881269662e-06	4.48126898514959e-06	3622	tags=65%, list=24%, signal=50%	OR2L2/OR5H14/PRKG2/CAMK2B/OR2A25/OR52I1/OR52N4/ANO2/SLC24A4/OR6N1/CAMK2A/OR8A1/OR13A1/SLC8A3/OR10H5/CALML6/OR10K1/OR2B11/CNGA3/OR2A7/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/CNGA4/OR2AG2/OR6A2/OR5AS1/OR8G5/CALML5/OR6C75/OR1A1/OR7C1/OR10H1/OR14J1/OR5P3/OR7G2/OR10G3/OR52N1/PDE1A/OR1I1/OR7A17/OR5P2/OR3A3/SLC8A2
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	89	-0.412736184999311	-2.42028725588463	3.91276291825117e-08	5.51979881269662e-06	4.48126898514959e-06	3103	tags=46%, list=20%, signal=37%	CCL8/CCL16/CCL14/CCL25/CXCR1/CCR9/PF4/LTA/IL19/IL24/CCR8/XCR1/CCR3/PPBP/CCL26/CCL24/CCL27/CCL11/IL20/CX3CR1/IL2RB/CCL4/CCL3L1/PF4V1/IL2RA/CCL4L2/CX3CL1/CCR4/TNFSF14/CCL21/CXCL8/CXCL2/ACKR4/CCL2/XCL2/CXCL1/CXCL3/ACKR3/CCL20/IL6/XCL1
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	214	-0.29082737932465	-2.09369572999236	2.27798133825018e-07	1.94197909085827e-05	1.57660287357841e-05	1049	tags=19%, list=7%, signal=18%	TNFSF13/CCL4/IL13RA2/CCL3L1/PF4V1/TNFRSF12A/IL17RC/CTF1/IL2RA/IL17C/IL12A/GDF5/CCL4L2/TNFSF8/RELL1/CX3CL1/BMPR1B/TNFRSF9/CCR4/TNFSF14/CCL21/BMP6/CXCL8/EDA2R/IL21R/LEPR/CXCL2/INHBA/ACKR4/CCL2/XCL2/CXCL1/CXCL3/ACKR3/CCL20/BMP2/IL6/CSF3/XCL1/LIF
hsa04657	hsa04657	IL-17 signaling pathway	73	-0.387252766933855	-2.19313940249037	1.47433925535248e-05	0.00100549937215039	0.000816318366647795	994	tags=23%, list=6%, signal=22%	JUND/IL17RC/MAPK4/TNFAIP3/FOSL1/PTGS2/IL17C/CXCL8/CXCL2/CCL2/CXCL1/CXCL3/MMP3/CCL20/IL6/CSF3/MUC5AC
hsa04145	hsa04145	Phagosome	126	0.367164419767783	1.86200584382407	9.96724761209676e-05	0.00566471905954166	0.00459892302102008	4534	tags=44%, list=29%, signal=31%	THBS4/THBS3/ATP6V0A1/TUBB2B/TUBB2A/NCF4/NCF2/ITGAM/COLEC12/HLA-DQA2/HLA-DMB/CTSL/FCGR2B/CLEC7A/SFTPD/SCARB1/HLA-DRB5/HLA-DOB/ATP6V0A4/HLA-DPA1/HLA-DQB1/HLA-DMA/HLA-DRB1/FCGR2A/HLA-DOA/TAP1/CD14/SEC61A2/TUBA4A/HLA-DQA1/MRC2/HLA-DRA/HLA-DPB1/ATP6V1H/FCGR3A/RAB5C/HLA-C/SEC22B/ATP6AP1/TUBB/TUBB8/VAMP3/HLA-A/LAMP2/ITGB2/TAP2/RAB7A/RAB5B/ATP6V1D/CTSS/STX18/HLA-B/CALR/RILP/HLA-E
hsa05169	hsa05169	Epstein-Barr virus infection	159	0.339964017509232	1.77077219020493	0.000127915990213348	0.0062313360946788	0.00505893314678353	4539	tags=45%, list=29%, signal=32%	MAPK13/JAK3/OAS3/BTK/CXCL10/BLNK/HLA-DQA2/SAP30/HLA-DMB/TAB1/ITGAL/PSMD4/IRF7/TRAF5/OAS1/ENTPD1/HLA-DRB5/HLA-DOB/SKP2/ENTPD3/HLA-DPA1/HLA-DQB1/HLA-DMA/HLA-DRB1/HLA-DOA/CD58/TAP1/MAP2K6/FAS/CASP8/BAK1/MYD88/CASP9/HLA-DQA1/IKBKB/HLA-DRA/HLA-DPB1/IKBKG/E2F1/PSMD3/CDK4/STAT2/MAPK9/HLA-C/SAP30L/PSMD11/CDKN1B/PSMD14/STAT1/MAVS/PIK3CA/CIR1/HLA-A/TRAF3/CCNA2/MAP3K7/TAP2/MDM2/CD247/TAPBP/GADD45G/PSMC5/OAS2/TRADD/HDAC1/HLA-B/CALR/HLA-E/PSMC2/PSMC6/TAB2
hsa00520	hsa00520	Amino sugar and nucleotide sugar metabolism	43	0.496252538586606	2.04598924067709	0.000187379960744394	0.00709961851264872	0.00576385142406733	4544	tags=63%, list=30%, signal=44%	CHIT1/AMDHD2/FPGT/CHIA/HKDC1/HK3/MPI/UAP1L1/GNPNAT1/GALK1/GALK2/GFPT1/GMPPA/CYB5R4/GALE/UXS1/HEXB/CYB5R1/CYB5RL/NANS/UGDH/NPL/NANP/GNE/RENBP/GALT/GNPDA2
hsa04142	hsa04142	Lysosome	115	0.370243332139484	1.8441205789023	0.000181193040832848	0.00709961851264872	0.00576385142406733	6854	tags=70%, list=45%, signal=39%	CTSK/ATP6V0A1/AP3M2/LAPTM4B/CLN3/AP1S1/GGA2/FUCA1/SGSH/CTSL/AP4B1/MAN2B1/GLA/DNASE2/SMPD1/NAPSA/AP4M1/AGA/PPT1/CLN5/AP1S3/ATP6V0A4/LGMN/NEU1/GUSB/GLB1/NAGPA/ATP6V1H/CTSH/HEXB/AP3M1/CTSE/MANBA/PSAP/ACP5/ATP6AP1/IDS/HYAL2/CTSB/PLA2G15/LAPTM4A/LAMP2/LIPA/GM2A/CTSD/CTSS/CLTC/AP1B1/CTSF/ABCB9/SLC17A5/SUMF1/FUCA2/CD164/ASAH1/SCARB2/LAPTM5/GGA1/LITAF/GNS/CTSA/CTNS/TPP1/ATP6V0A2/AP1M2/WDR7/AP1G2/ARSA/ATP6V0D1/HEXA/GALNS/AP3D1/CLTA/HYAL3/CD63/LAMP1/ACP2/CLTB/NAGLU/GNPTG
hsa05140	hsa05140	Leishmaniasis	59	0.441361694218627	1.95447149275865	0.000217725735952512	0.00742444759598068	0.0060275651111064	3063	tags=42%, list=20%, signal=34%	MAPK13/NCF4/NCF2/ITGAM/HLA-DQA2/TGFB3/HLA-DMB/TAB1/PTPN6/HLA-DRB5/CR1/HLA-DOB/HLA-DPA1/HLA-DQB1/HLA-DMA/HLA-DRB1/FCGR2A/HLA-DOA/MYD88/HLA-DQA1/HLA-DRA/HLA-DPB1/FCGR3A/MAPK3/MARCKSL1
